年份,特材代碼,特材代碼前五碼,核價類別名稱,中英文品名,產品型號/規格,單位,支付點數,申請者簡稱,許可證字號,中文品名,英文品名,點數變更記錄
111, FPP0107085WR,FPP01, MINI PLATE 2:5HOLE CUVED(Z PLATE)," ""拜而美""顱顏頜骨固定系統-Z型骨板4孔，厚0.6 MM""BIOMET MICROFIXATION"" MIDFACE PLATING SYSTEM - Z PLATE 4 HOLE， T 0.6 MM",01-708-5;6;(01-808-1:4自1080501起生效), 個,1626.0,捷邁,衛部醫器輸字第030012號,,,0
111, FPP0109226WR,FPP01, MINI PLATE 6:10 HOLE CUVED," ""拜而美""顱顏頜骨固定系統-角度骨板6;8孔，厚1 MM""BIOMET MICROFIXATION"" MIDFACE PLATING SYSTEM - ANGLE PLATE 6;8 HOLE，T 1 MM",01-922-6;8;9, 個,1836.0,捷邁,衛部醫器輸字第030012號,,,0
111, FPP01T4103WR,FPP01, MINI PLATE 6:10 HOLE CUVED," ""拜而美""顱顏頜面骨重建系統-彎曲骨板7孔/1MM""BIOMET MICROFIXATION"" TRAUMAONE PLATING SYSTEM-CUVED PLATE 7HOLE/1MM",42-1003, 個,1836.0,捷邁,衛部醫器輸字第030316號,,,0
111, SCV01LT400JJ,SCV01, 血管夾HEMO CLIP(TITANIUM)，L TYPE，單發, TITANIUM LIGA CLIP (L) 6 CLIP/排,LT-400, CLIP,34.4,壯生,衛署醫器輸字第002573號,,,0
111, SCV010412LV7,SCV01, 血管夾HEMO CLIP(TITANIUM)，L TYPE，單發," ""維達力克"" 鈦金屬血管夾系統(大)""VITALITEC"" SLS-CLIP TITANIUM HEMOSTATIC CLIP SYSTEM",O4120-1, EA,34.4,亞衛,衛署醫器輸字第021306號,,,0
111, SCV010912LV7,SCV01, 血管夾HEMO CLIP(TITANIUM)，L TYPE，單發," ""維達力克"" 鈦金屬血管夾(大)""VITALITEC"" NINE CLIP TITANIUM HEMOSTATIC CLIP SYSTEM(LARGE)",O9120, EA,34.4,亞衛,衛署醫器輸字第023272號,,,0
111, SCV0104200TX,SCV01, 血管夾HEMO CLIP(TITANIUM)，L TYPE，單發," ""TELEFLEX"" HORIZON METAL LIGATING CLIPS ""泰利芙斯""金屬血管夾(大) 6;24 CLIPS/排(L)",004200;004204, CLIP,34.4,泰利福,衛署醫器輸字第024639號,,,0
111, SCV01FD870TX,SCV01, 血管夾HEMO CLIP(TITANIUM)，L TYPE，單發," ""泰利芙斯""血管夾""Teleflex Medical"" Hemoclip-TITANIUM(LARGE)",523870, CLIP,34.4,泰利福,衛署醫器輸字第008063號,,,0
111, SCV01LT200JJ,SCV01, 血管夾HEMO CILP(TITANIUM)，M TYPE，單發, TITANIUM LIGA CLIP (M) 6 CLIP/排,LT-200, CLIP,16.7,壯生,衛署醫器輸字第002573號,,,0
111, SCV01B218MV7,SCV01, 血管夾HEMO CILP(TITANIUM)，M TYPE，單發," ""維達力克"" 鈦金屬血管夾系統(中)""VITALITEC"" SLS-CLIP TITANIUM HEMOSTATIC CLIP SYSTEM(MEDIUM)",B2180-1;(L5180-1;B2120-1;自101.10.1.生效), EA,16.7,亞衛,衛署醫器輸字第021306號,,,0
